Czas,Temperatura procesora,Zużycie procesora
 07-06-2024 22:04:08,44,7.219
 07-06-2024 22:04:09,51,5.074
 07-06-2024 22:04:10,52,14.874
 07-06-2024 22:04:11,54,9.315
 07-06-2024 22:04:12,51,16.867
 07-06-2024 22:04:13,52,22.98
 07-06-2024 22:04:14,55,19.731
 07-06-2024 22:04:15,55,21.033
 07-06-2024 22:04:16,55,20.302
 07-06-2024 22:04:17,56,10.054
 07-06-2024 22:04:18,52,17.927
 07-06-2024 22:04:19,46,8.684
 07-06-2024 22:04:20,51,7.859
 07-06-2024 22:04:21,54,7.535
 07-06-2024 22:04:22,52,7.426
 07-06-2024 22:04:23,44,6.283
 07-06-2024 22:04:24,50,4.83
 07-06-2024 22:04:25,44,5.826
 07-06-2024 22:04:26,51,5.857
 07-06-2024 22:04:27,44,6.309
 07-06-2024 22:04:28,54,4.786
 07-06-2024 22:04:29,43,5.22
 07-06-2024 22:04:30,54,6.019
 07-06-2024 22:04:31,49,8.51
 07-06-2024 22:04:32,51,8.423
 07-06-2024 22:04:33,52,15.179
 07-06-2024 22:04:34,47,12.338
 07-06-2024 22:04:35,52,13.164
 07-06-2024 22:04:36,52,19.275
 07-06-2024 22:04:37,48,6.285
 07-06-2024 22:04:38,51,8.625
 07-06-2024 22:04:39,45,9.051
 07-06-2024 22:04:40,49,7.884
 07-06-2024 22:04:41,55,11.417
 07-06-2024 22:04:42,54,10.506
 07-06-2024 22:04:43,52,8.962
 07-06-2024 22:04:44,45,5.777
 07-06-2024 22:04:45,46,12.639
 07-06-2024 22:04:46,55,14.887
 07-06-2024 22:04:47,53,8.62
 07-06-2024 22:04:48,49,10.78
 07-06-2024 22:04:49,45,5.465
 07-06-2024 22:04:50,49,8.398
 07-06-2024 22:04:51,44,6.1
 07-06-2024 22:04:52,51,10.372
 07-06-2024 22:04:53,45,6.636
 07-06-2024 22:04:54,51,5.62
 07-06-2024 22:04:55,44,8.022
 07-06-2024 22:04:56,48,7.008
 07-06-2024 22:04:57,44,6.762
 07-06-2024 22:04:58,51,6.752
 07-06-2024 22:04:59,53,6.925
 07-06-2024 22:05:00,45,9.562
 07-06-2024 22:05:01,51,11.391
 07-06-2024 22:05:02,45,5.792
 07-06-2024 22:05:03,52,7.121
 07-06-2024 22:05:04,44,6.316
 07-06-2024 22:05:05,49,6.529
 07-06-2024 22:05:06,44,6.279
 07-06-2024 22:05:07,52,6.838
 07-06-2024 22:05:08,45,6.053
 07-06-2024 22:05:09,51,11.234
 07-06-2024 22:05:10,47,12.113
 07-06-2024 22:05:11,47,13.11
 07-06-2024 22:05:12,46,14.362
 07-06-2024 22:05:13,45,5.997
 07-06-2024 22:05:14,46,5.97
 07-06-2024 22:05:15,45,6.232
 07-06-2024 22:05:16,48,7.567
 07-06-2024 22:05:17,44,5.041
 07-06-2024 22:05:18,49,4.902
 07-06-2024 22:05:19,47,8.624
 07-06-2024 22:05:20,59,12.541
 07-06-2024 22:05:21,49,14.58
 07-06-2024 22:05:22,45,5.986
 07-06-2024 22:05:23,49,7.028
 07-06-2024 22:05:24,44,6.234
 07-06-2024 22:05:25,52,8.992
 07-06-2024 22:05:26,44,6.136
 07-06-2024 22:05:27,47,4.375
 07-06-2024 22:05:28,44,6.619
 07-06-2024 22:05:29,51,5.541
 07-06-2024 22:05:30,50,8.191
 07-06-2024 22:05:31,44,6.155
 07-06-2024 22:05:32,48,5.561
 07-06-2024 22:05:33,53,6.791
 07-06-2024 22:05:34,51,7.335
 07-06-2024 22:05:35,44,7.975
 07-06-2024 22:05:36,57,13.644
 07-06-2024 22:05:37,48,17.819
 07-06-2024 22:05:38,45,4.073
 07-06-2024 22:05:39,52,7.361
 07-06-2024 22:05:40,44,7.307
 07-06-2024 22:05:41,49,6.397
 07-06-2024 22:05:42,43,4.782
 07-06-2024 22:05:43,45,6.448
 07-06-2024 22:05:44,44,5.778
 07-06-2024 22:05:45,47,10.255
 07-06-2024 22:05:46,44,9.495
 07-06-2024 22:05:47,47,5.329
 07-06-2024 22:05:48,45,7.948
 07-06-2024 22:05:49,49,4.933
 07-06-2024 22:05:50,48,7.291
 07-06-2024 22:05:51,43,5.075
 07-06-2024 22:05:52,49,7.397
 07-06-2024 22:05:53,45,14.396
 07-06-2024 22:05:54,52,14.021
 07-06-2024 22:05:55,52,10.021
 07-06-2024 22:05:56,47,12.246
 07-06-2024 22:05:57,58,15.251
 07-06-2024 22:05:58,43,6.985
 07-06-2024 22:05:59,44,8.864
 07-06-2024 22:06:00,45,6.645
 07-06-2024 22:06:01,47,5.476
 07-06-2024 22:06:02,49,8.564
 07-06-2024 22:06:03,54,9.215
 07-06-2024 22:06:04,45,9.821
 07-06-2024 22:06:05,46,6.19
 07-06-2024 22:06:06,47,6.69
 07-06-2024 22:06:07,44,6.133
 07-06-2024 22:06:08,46,6.94
 07-06-2024 22:06:09,43,4.215
 07-06-2024 22:06:10,49,7.229
 07-06-2024 22:06:11,44,6.76
 07-06-2024 22:06:12,51,4.653
 07-06-2024 22:06:13,43,6.09
 07-06-2024 22:06:14,48,6.065
 07-06-2024 22:06:15,43,6.82
 07-06-2024 22:06:16,48,5.49
 07-06-2024 22:06:17,44,6.207
 07-06-2024 22:06:18,44,7.763
 07-06-2024 22:06:19,46,7.127
 07-06-2024 22:06:20,46,5.477
 07-06-2024 22:06:21,49,6.228
 07-06-2024 22:06:22,44,5.698
 07-06-2024 22:06:23,45,6.064
 07-06-2024 22:06:24,44,5.564
 07-06-2024 22:06:25,49,5.905
 07-06-2024 22:06:26,43,5.735
 07-06-2024 22:06:27,52,7.736
 07-06-2024 22:06:28,49,13.229
 07-06-2024 22:06:29,43,5.601
 07-06-2024 22:06:30,49,11.677
 07-06-2024 22:06:31,43,5.945
 07-06-2024 22:06:32,46,6.359
 07-06-2024 22:06:33,52,14.293
 07-06-2024 22:06:34,44,5.757
 07-06-2024 22:06:35,49,8.205
 07-06-2024 22:06:36,42,4.806
 07-06-2024 22:06:37,49,7.153
 07-06-2024 22:06:38,42,5.37
 07-06-2024 22:06:39,49,4.572
 07-06-2024 22:06:40,44,14.528
 07-06-2024 22:06:41,44,5.218
 07-06-2024 22:06:42,45,7.368
 07-06-2024 22:06:43,49,5.074
 07-06-2024 22:06:44,58,16.079
 07-06-2024 22:06:45,47,16.802
 07-06-2024 22:06:46,47,14.085
 07-06-2024 22:06:47,50,11.068
 07-06-2024 22:06:48,49,9.912
 07-06-2024 22:06:49,55,19.488
 07-06-2024 22:06:50,51,13.63
 07-06-2024 22:06:51,49,9.614
 07-06-2024 22:06:52,46,12.05
 07-06-2024 22:06:53,43,7.479
 07-06-2024 22:06:54,51,11.543
 07-06-2024 22:06:55,45,12.461
 07-06-2024 22:06:56,47,5.413
 07-06-2024 22:06:57,44,7.212
 07-06-2024 22:06:58,44,11.532
 07-06-2024 22:06:59,54,7.334
 07-06-2024 22:07:00,44,7.621
 07-06-2024 22:07:01,49,8.705
 07-06-2024 22:07:02,44,8.568
 07-06-2024 22:07:03,47,5.101
 07-06-2024 22:07:04,46,8.259
 07-06-2024 22:07:05,44,6.906
 07-06-2024 22:07:06,50,8.415
 07-06-2024 22:07:07,44,5.393
 07-06-2024 22:07:08,50,7.444
 07-06-2024 22:07:09,45,7.417
 07-06-2024 22:07:10,50,7.625
 07-06-2024 22:07:11,44,9.626
 07-06-2024 22:07:12,49,6.126
