Czas,Temperatura procesora
 08-06-2024 12:44:21, 44.500              
 08-06-2024 12:44:22, 45.000              
 08-06-2024 12:44:23, 48.375              
 08-06-2024 12:44:24, 49.625              
 08-06-2024 12:44:25, 49.000              
 08-06-2024 12:44:26, 48.125              
 08-06-2024 12:44:27, 47.375              
 08-06-2024 12:44:28, 47.750              
 08-06-2024 12:44:29, 48.500              
 08-06-2024 12:44:30, 49.250              
 08-06-2024 12:44:31, 49.125              
 08-06-2024 12:44:32, 48.750              
 08-06-2024 12:44:33, 49.250              
 08-06-2024 12:44:34, 48.750              
 08-06-2024 12:44:35, 48.500              
 08-06-2024 12:44:36, 47.875              
 08-06-2024 12:44:37, 47.375              
 08-06-2024 12:44:38, 47.125              
 08-06-2024 12:44:39, 47.500              
 08-06-2024 12:44:40, 47.000              
 08-06-2024 12:44:41, 46.625              
 08-06-2024 12:44:42, 47.000              
 08-06-2024 12:44:43, 47.125              
 08-06-2024 12:44:44, 46.875              
 08-06-2024 12:44:45, 46.250              
 08-06-2024 12:44:46, 45.750              
 08-06-2024 12:44:47, 45.625              
 08-06-2024 12:44:48, 45.875              
 08-06-2024 12:44:49, 45.500              
 08-06-2024 12:44:50, 48.000              
 08-06-2024 12:44:51, 48.125              
 08-06-2024 12:44:52, 47.625              
 08-06-2024 12:44:53, 48.000              
 08-06-2024 12:44:54, 49.125              
 08-06-2024 12:44:55, 49.125              
 08-06-2024 12:44:56, 49.125              
 08-06-2024 12:44:57, 48.375              
 08-06-2024 12:44:58, 47.375              
 08-06-2024 12:44:59, 46.500              
 08-06-2024 12:45:00, 45.750              
 08-06-2024 12:45:01, 45.000              
 08-06-2024 12:45:02, 44.250              
 08-06-2024 12:45:03, 43.750              
 08-06-2024 12:45:04, 43.125              
 08-06-2024 12:45:05, 48.500              
 08-06-2024 12:45:06, 49.125              
 08-06-2024 12:45:07, 48.125              
 08-06-2024 12:45:08, 47.125              
 08-06-2024 12:45:09, 46.125              
