Czas,Temperatura procesora
 08-06-2024 12:51:30,47
 08-06-2024 12:51:31,49
 08-06-2024 12:51:32,48
 08-06-2024 12:51:33,47
 08-06-2024 12:51:34,46
 08-06-2024 12:51:35,47
 08-06-2024 12:51:36,45
 08-06-2024 12:51:37,45
 08-06-2024 12:51:38,46
 08-06-2024 12:51:39,44
 08-06-2024 12:51:40,44
 08-06-2024 12:51:41,44
 08-06-2024 12:51:42,45
 08-06-2024 12:51:43,45
 08-06-2024 12:51:44,47
 08-06-2024 12:51:45,45
 08-06-2024 12:51:46,46
 08-06-2024 12:51:47,47
 08-06-2024 12:51:48,44
 08-06-2024 12:51:49,46
 08-06-2024 12:51:50,55
 08-06-2024 12:51:51,46
 08-06-2024 12:51:52,44
 08-06-2024 12:51:53,44
 08-06-2024 12:51:54,44
 08-06-2024 12:51:55,46
 08-06-2024 12:51:56,45
 08-06-2024 12:51:57,45
 08-06-2024 12:51:58,46
 08-06-2024 12:51:59,46
 08-06-2024 12:52:00,45
 08-06-2024 12:52:01,46
 08-06-2024 12:52:02,49
 08-06-2024 12:52:03,44
 08-06-2024 12:52:04,44
 08-06-2024 12:52:05,45
 08-06-2024 12:52:06,47
 08-06-2024 12:52:07,45
 08-06-2024 12:52:08,45
 08-06-2024 12:52:09,45
 08-06-2024 12:52:10,44
 08-06-2024 12:52:11,49
 08-06-2024 12:52:12,45
 08-06-2024 12:52:13,45
 08-06-2024 12:52:14,46
 08-06-2024 12:52:15,44
 08-06-2024 12:52:16,44
 08-06-2024 12:52:17,45
 08-06-2024 12:52:18,45
 08-06-2024 12:52:19,45
 08-06-2024 12:52:20,44
 08-06-2024 12:52:21,44
 08-06-2024 12:52:22,44
 08-06-2024 12:52:23,47
 08-06-2024 12:52:24,44
 08-06-2024 12:52:25,55
 08-06-2024 12:52:26,43
 08-06-2024 12:52:27,45
 08-06-2024 12:52:28,44
 08-06-2024 12:52:29,44
 08-06-2024 12:52:30,47
 08-06-2024 12:52:31,44
 08-06-2024 12:52:32,45
 08-06-2024 12:52:33,46
 08-06-2024 12:52:34,45
 08-06-2024 12:52:35,45
 08-06-2024 12:52:36,44
 08-06-2024 12:52:37,45
 08-06-2024 12:52:38,44
 08-06-2024 12:52:39,44
 08-06-2024 12:52:40,45
 08-06-2024 12:52:41,49
 08-06-2024 12:52:42,45
 08-06-2024 12:52:43,48
 08-06-2024 12:52:44,44
 08-06-2024 12:52:45,44
 08-06-2024 12:52:46,44
 08-06-2024 12:52:47,44
 08-06-2024 12:52:48,45
 08-06-2024 12:52:49,52
 08-06-2024 12:52:50,45
 08-06-2024 12:52:51,44
 08-06-2024 12:52:52,46
 08-06-2024 12:52:53,44
 08-06-2024 12:52:54,44
 08-06-2024 12:52:55,45
 08-06-2024 12:52:56,45
 08-06-2024 12:52:57,49
 08-06-2024 12:52:58,51
 08-06-2024 12:52:59,45
 08-06-2024 12:53:00,46
 08-06-2024 12:53:01,46
 08-06-2024 12:53:02,44
 08-06-2024 12:53:03,46
 08-06-2024 12:53:04,44
 08-06-2024 12:53:05,44
 08-06-2024 12:53:06,44
 08-06-2024 12:53:07,48
 08-06-2024 12:53:08,44
 08-06-2024 12:53:09,44
 08-06-2024 12:53:10,46
 08-06-2024 12:53:11,44
 08-06-2024 12:53:12,44
 08-06-2024 12:53:13,49
 08-06-2024 12:53:14,44
 08-06-2024 12:53:15,44
 08-06-2024 12:53:16,45
 08-06-2024 12:53:17,46
 08-06-2024 12:53:18,49
 08-06-2024 12:53:19,44
 08-06-2024 12:53:20,45
 08-06-2024 12:53:21,44
 08-06-2024 12:53:22,46
 08-06-2024 12:53:23,46
 08-06-2024 12:53:24,45
 08-06-2024 12:53:25,44
 08-06-2024 12:53:26,46
 08-06-2024 12:53:27,44
 08-06-2024 12:53:28,45
 08-06-2024 12:53:29,45
 08-06-2024 12:53:30,45
 08-06-2024 12:53:31,49
 08-06-2024 12:53:32,46
 08-06-2024 12:53:33,45
 08-06-2024 12:53:34,47
 08-06-2024 12:53:35,44
 08-06-2024 12:53:36,45
 08-06-2024 12:53:37,46
 08-06-2024 12:53:38,48
 08-06-2024 12:53:39,56
 08-06-2024 12:53:40,44
 08-06-2024 12:53:41,43
 08-06-2024 12:53:42,45
 08-06-2024 12:53:43,45
 08-06-2024 12:53:44,44
 08-06-2024 12:53:45,45
 08-06-2024 12:53:46,45
 08-06-2024 12:53:47,49
