Czas,Temperatura procesora,Zużycie procesora
 08-06-2024 16:48:33,45,7.915
 08-06-2024 16:48:33,46,7.915
 08-06-2024 16:48:34,44,5.62
 08-06-2024 16:48:34,43,5.62
 08-06-2024 16:48:34,43,4.345
 08-06-2024 16:48:34,43,4.345
 08-06-2024 16:48:34,43,3.631
 08-06-2024 16:48:34,51,5.476
 08-06-2024 16:48:34,43,5.476
 08-06-2024 16:48:34,43,3.586
 08-06-2024 16:48:34,43,3.586
 08-06-2024 16:48:34,43,6.195
 08-06-2024 16:48:35,44,6.195
 08-06-2024 16:48:35,47,6.675
 08-06-2024 16:48:35,46,11.583
 08-06-2024 16:48:35,44,11.583
 08-06-2024 16:48:35,43,5.976
 08-06-2024 16:48:35,43,5.976
 08-06-2024 16:48:35,43,3.605
 08-06-2024 16:48:35,43,3.955
 08-06-2024 16:48:35,45,3.955
 08-06-2024 16:48:35,42,5.034
 08-06-2024 16:48:36,45,5.034
 08-06-2024 16:48:36,43,5.506
 08-06-2024 16:48:36,43,5.506
 08-06-2024 16:48:36,42,4.764
 08-06-2024 16:48:36,42,3.667
 08-06-2024 16:48:36,44,3.667
 08-06-2024 16:48:36,45,7.127
 08-06-2024 16:48:36,46,7.127
 08-06-2024 16:48:36,45,3.356
 08-06-2024 16:48:36,45,3.356
 08-06-2024 16:48:37,45,15.049
 08-06-2024 16:48:37,47,15.049
 08-06-2024 16:48:37,46,20.588
 08-06-2024 16:48:37,46,21.333
 08-06-2024 16:48:37,45,21.333
 08-06-2024 16:48:37,43,6.564
 08-06-2024 16:48:37,51,6.564
 08-06-2024 16:48:37,46,14.555
 08-06-2024 16:48:37,48,14.555
 08-06-2024 16:48:37,45,11.993
 08-06-2024 16:48:38,45,4.252
 08-06-2024 16:48:38,51,4.252
 08-06-2024 16:48:38,45,14.633
 08-06-2024 16:48:38,44,14.633
 08-06-2024 16:48:38,44,5.519
 08-06-2024 16:48:38,54,4.795
 08-06-2024 16:48:38,49,4.795
 08-06-2024 16:48:38,46,17.161
 08-06-2024 16:48:38,46,17.161
 08-06-2024 16:48:38,46,6.011
 08-06-2024 16:48:39,45,6.011
 08-06-2024 16:48:39,45,5.759
 08-06-2024 16:48:39,46,5.759
 08-06-2024 16:48:39,44,4.055
 08-06-2024 16:48:39,50,5.891
 08-06-2024 16:48:39,44,5.891
 08-06-2024 16:48:39,44,4.007
 08-06-2024 16:48:39,46,6.046
 08-06-2024 16:48:39,46,6.046
 08-06-2024 16:48:39,45,5.578
 08-06-2024 16:48:40,48,5.578
 08-06-2024 16:48:40,44,5.8
 08-06-2024 16:48:40,44,5.8
 08-06-2024 16:48:40,46,6.208
 08-06-2024 16:48:40,45,2.92
 08-06-2024 16:48:40,44,2.92
 08-06-2024 16:48:40,45,3.937
 08-06-2024 16:48:40,44,3.937
 08-06-2024 16:48:40,45,5.819
 08-06-2024 16:48:40,45,5.819
 08-06-2024 16:48:41,45,2.553
 08-06-2024 16:48:41,44,2.553
 08-06-2024 16:48:41,45,4.229
 08-06-2024 16:48:41,44,5.292
 08-06-2024 16:48:41,44,5.292
 08-06-2024 16:48:41,43,4.121
 08-06-2024 16:48:41,43,4.121
 08-06-2024 16:48:41,44,4.583
 08-06-2024 16:48:41,43,4.583
 08-06-2024 16:48:41,46,6.17
 08-06-2024 16:48:42,45,4.881
 08-06-2024 16:48:42,44,4.881
 08-06-2024 16:48:42,43,3.456
 08-06-2024 16:48:42,43,3.456
 08-06-2024 16:48:42,43,5.444
 08-06-2024 16:48:42,44,4.692
 08-06-2024 16:48:42,43,4.692
 08-06-2024 16:48:42,43,3.58
 08-06-2024 16:48:42,44,3.58
 08-06-2024 16:48:42,43,3.784
 08-06-2024 16:48:43,44,3.524
 08-06-2024 16:48:43,44,3.524
 08-06-2024 16:48:43,43,5.687
 08-06-2024 16:48:43,45,5.687
 08-06-2024 16:48:43,43,3.996
 08-06-2024 16:48:43,44,3.133
 08-06-2024 16:48:43,44,3.133
 08-06-2024 16:48:43,45,5.21
 08-06-2024 16:48:43,43,5.21
 08-06-2024 16:48:43,49,4.946
 08-06-2024 16:48:44,48,4.946
 08-06-2024 16:48:44,45,6.682
 08-06-2024 16:48:44,44,6.682
 08-06-2024 16:48:44,48,5.021
 08-06-2024 16:48:44,43,3.668
 08-06-2024 16:48:44,43,3.668
 08-06-2024 16:48:44,43,3.11
 08-06-2024 16:48:44,43,6.113
 08-06-2024 16:48:44,45,6.113
 08-06-2024 16:48:44,45,8.997
 08-06-2024 16:48:45,43,8.997
 08-06-2024 16:48:45,43,2.919
 08-06-2024 16:48:45,43,2.919
 08-06-2024 16:48:45,43,4.594
 08-06-2024 16:48:45,44,4.258
 08-06-2024 16:48:45,46,4.258
 08-06-2024 16:48:45,43,5.956
 08-06-2024 16:48:45,43,5.956
 08-06-2024 16:48:45,43,4.357
 08-06-2024 16:48:45,45,5.626
 08-06-2024 16:48:46,43,5.626
 08-06-2024 16:48:46,43,4.591
 08-06-2024 16:48:46,43,4.591
 08-06-2024 16:48:46,43,4.668
 08-06-2024 16:48:46,43,4.668
 08-06-2024 16:48:46,43,4.312
 08-06-2024 16:48:46,43,4.312
 08-06-2024 16:48:46,43,1.471
 08-06-2024 16:48:46,43,4.404
 08-06-2024 16:48:46,44,4.404
 08-06-2024 16:48:47,43,5.186
 08-06-2024 16:48:47,43,5.186
 08-06-2024 16:48:47,43,3.505
 08-06-2024 16:48:47,42,4.291
 08-06-2024 16:48:47,43,4.291
 08-06-2024 16:48:47,42,3.488
 08-06-2024 16:48:47,44,3.488
 08-06-2024 16:48:47,43,5.152
 08-06-2024 16:48:47,43,9.879
 08-06-2024 16:48:47,43,9.879
 08-06-2024 16:48:48,43,5.314
 08-06-2024 16:48:48,43,5.314
 08-06-2024 16:48:48,49,5.121
 08-06-2024 16:48:48,44,3.014
 08-06-2024 16:48:48,43,3.014
 08-06-2024 16:48:48,43,2.827
 08-06-2024 16:48:48,43,2.827
 08-06-2024 16:48:48,43,5.268
 08-06-2024 16:48:48,44,5.268
 08-06-2024 16:48:48,43,3.87
 08-06-2024 16:48:49,43,8.249
 08-06-2024 16:48:49,45,8.249
 08-06-2024 16:48:49,43,4.137
 08-06-2024 16:48:49,43,4.137
 08-06-2024 16:48:49,43,4.81
 08-06-2024 16:48:49,43,3.359
 08-06-2024 16:48:49,43,3.359
 08-06-2024 16:48:49,44,4.569
 08-06-2024 16:48:49,43,4.569
 08-06-2024 16:48:49,43,3.011
 08-06-2024 16:48:50,44,3.011
 08-06-2024 16:48:50,43,5.656
 08-06-2024 16:48:50,43,5.656
 08-06-2024 16:48:50,42,4.847
 08-06-2024 16:48:50,42,3.034
 08-06-2024 16:48:50,42,3.034
 08-06-2024 16:48:50,43,2.596
 08-06-2024 16:48:50,43,3.031
 08-06-2024 16:48:50,43,3.031
 08-06-2024 16:48:50,43,3.744
 08-06-2024 16:48:51,43,3.744
 08-06-2024 16:48:51,42,4.258
 08-06-2024 16:48:51,43,4.258
 08-06-2024 16:48:51,44,6.339
 08-06-2024 16:48:51,44,1.551
 08-06-2024 16:48:51,44,1.551
 08-06-2024 16:48:51,43,4.087
 08-06-2024 16:48:51,43,4.087
 08-06-2024 16:48:51,42,4.824
 08-06-2024 16:48:51,42,2.44
 08-06-2024 16:48:52,43,2.44
 08-06-2024 16:48:52,42,1.974
 08-06-2024 16:48:52,43,1.974
 08-06-2024 16:48:52,45,4.876
 08-06-2024 16:48:52,43,4.876
 08-06-2024 16:48:52,43,4.436
 08-06-2024 16:48:52,43,4.436
 08-06-2024 16:48:52,42,3.164
 08-06-2024 16:48:52,42,5.44
 08-06-2024 16:48:52,43,5.44
